STT,key,id,day,start,count,room,teacher,class,member,name,weight,week
1466,KC224,01,3,1,2,304/C1,,KC224001,70,Phát triển ứng dụng hệ thống nhúng,2,12**5678901234567***
1467,KC224,02,4,1,2,103/A3,,KC224002,70,Phát triển ứng dụng hệ thống nhúng,2,12**5678901234567***
1468,KC225,01,2,8,2,204/B1,,KC225001,70,Lập trình điều khiển trên thiết bị di động,2,12**5678901234567***
1469,KC226,01,6,3,3,307/CN,,KC226001,60,Phân tích và thiết kế thuật toán,3,12**5678901234567***
1470,KC226,02,2,3,3,304/C1,,KC226002,60,Phân tích và thiết kế thuật toán,3,12**5678901234567***
1471,KC227,01,3,3,3,104/A3,,KC227001,60,Đồ họa máy tính,3,12**5678901234567***
1472,KC228,01,4,6,3,209/B1,,KC228001,90,Vẽ kỹ thuật - kỹ thuật điện,3,12**5678901234567***
1473,KC229,01,7,3,3,301/CN,,KC229001,90,Vi mạch số,3,12**5678901234567***
1474,KC230,01,2,3,3,307/CN,,KC230001,60,Vi mạch tương tự,3,12**5678901234567***
1475,KC231,01,3,3,3,304/C1,,KC231001,70,Lập trình mạng,3,12**5678901234567***
1476,KC232,01,4,3,3,206/C2,,KC232001,60,Kỹ thuật xử lý Ảnh,3,12**5678901234567***
1477,KC236,01,6,1,2,301/DB,,KC236001,90,Thiết kế hệ điều khiển - TĐH,2,12**5678901234567***
1478,KC237,01,5,3,3,104/B1,,KC237001,60,Cấu trúc dữ liệu và giải thuật - CN,3,12**5678901234567***
1479,KC237,02,6,3,3,206/C2,,KC237002,60,Cấu trúc dữ liệu và giải thuật - CN,3,12**5678901234567***
1480,KC238,01,7,3,3,306/C1,,KC238001,60,Nhập môn xử lý Ảnh số,3,12**5678901234567***
1481,KC240,01,2,3,3,109/A3,,KC240001,60,Nền móng công trình,3,12**5678901234567***
1482,KC240,02,6,3,3,HTR/KL,,KC240002,60,Nền móng công trình,3,12**5678901234567***
1483,KC241,01,4,6,3,308/CN,,KC241001,90,Kết cấu bê-tông cơ sở,3,12**5678901234567***
1484,KC242,01,5,8,2,104/C1,,KC242002,90,Kiến trúc công trình,2,12**5678901234567***
1485,KC242,H01,3,2,4,111/HA,,18T7A5,40,Kiến trúc công trình,2,**********1234567***
1486,KC243,01,4,6,3,301/C1,,KC243001,80,Tổ chức thi công và an toàn lao động,3,12**5678901234567***
1487,KC244,01,2,6,2,105/A3,,KC244001,80,Mố trụ cầu,2,12**5678901234567***
1488,KC245,01,5,3,3,202/XH,,KC245001,70,Cấu kiện bê-tông đặc biệt,3,12**5678901234567***
